Date,alpha,rho,sigma,alpha,rho,sigma,alpha,rho,sigma,se_13_alpha,se_13_rho,se_13_sigma,se_23_alpha,se_23_rho,se_23_sigma
5/18/2018,1.653694543,-0.777557759,1.941018193,1.522255311,-0.761206359,1.957359714,1.766473445,-0.709739255,1.899544901,0.012719081,0.00459935,0.001720034,0.059642497,0.002648863,0.003342553
5/21/2018,1.660621436,-0.783256946,1.938388138,1.831340663,-0.690396668,1.874997528,1.938571845,-0.698967632,1.718078775,0.07725643,0.007104689,0.048536215,0.011498526,7.35E-05,0.024623495
5/22/2018,1.713273485,-0.774909572,1.82385494,1.883260998,-0.733695023,1.710699453,1.680764758,-0.6848375,1.77056109,0.001056817,0.008112978,0.002840234,0.041004727,0.002387058,0.003583416
5/23/2018,1.688333712,-0.763988349,1.809841092,1.557172881,-0.667356658,1.818048508,1.668001788,-0.618002329,1.689966802,0.000413387,0.021311918,0.014369846,0.012283047,0.00243585,0.016404923
5/24/2018,1.652321767,-0.745448469,1.735236582,1.717793289,-0.619187188,1.68096881,0.125364837,-1,2.133312074,2.331597467,0.064796482,0.158464098,2.535828375,0.145018398,0.204614429
5/25/2018,1.211600921,-0.797300957,1.850362908,0,-1,2.336089474,1.817521338,-0.800303827,1.854418045,0.367139552,9.02E-06,1.64E-05,3.303383816,0.039878561,0.232007366
5/29/2018,1.44536188,-0.824229667,1.916546273,2.961933746,-0.533323301,1.521434425,1.949933142,-0.666798525,2.001276348,0.254592158,0.024784564,0.007179186,1.024145223,0.017815635,0.230248272
5/30/2018,1.44333212,-0.820451681,2.100825986,1.288679402,-0.754517269,2.203266361,1.953720061,-0.68857085,1.904462204,0.260495851,0.017392554,0.038558735,0.442279079,0.00434893,0.089283924
5/31/2018,1.707642876,-0.803860043,1.97979005,2.185132291,-0.679411235,1.8049396,1.987437408,-0.780865652,1.983220769,0.07828498,0.000528742,1.18E-05,0.039083267,0.010292999,0.031784175
6/1/2018,1.794686772,-0.80447122,2.037142663,1.712361894,-0.841600393,2.044727649,2.075031849,-0.741040384,1.79447611,0.078593362,0.004023471,0.058887056,0.131529496,0.010112315,0.062625832
6/4/2018,1.79831163,-0.817445412,1.909601889,2.132772627,-0.706143335,1.742584291,2.198190821,-0.607485829,1.714091593,0.159903368,0.044083027,0.038224276,0.00427954,0.009733304,0.000811834
6/5/2018,1.873173132,-0.777780339,1.852491897,2.096828397,-0.576838771,1.737235383,2.102136939,-0.737028195,1.754407569,0.052424425,0.001660737,0.009620535,2.82E-05,0.025660652,0.000294884
