Date,alpha,beta,rho,sigma,Duration
11/15/2017,1.746900514546077,0.8,-0.7919064932060199,0.3428588855976763,94.0
11/16/2017,1.9286675025426743,0.8,-0.6824851708410017,0.3098971845639413,93.0
11/17/2017,1.798924964853976,0.8,-0.7811338989779721,0.31344171108694224,92.0
11/20/2017,1.737439318413121,0.8,-0.8716884134601528,0.3087123532875272,89.0
11/21/2017,1.7365519510414564,0.8,-0.7141162386477421,0.2850935667169819,88.0
11/22/2017,1.7695070343038748,0.8,-0.7733760747616175,0.28401544645098775,87.0
11/24/2017,1.88607788312013,0.8,-0.7471209049649872,0.27363170051410995,85.0
11/27/2017,1.9791897829827279,0.8,-0.6739427937275899,0.27835751733872577,82.0
11/28/2017,1.9975632133556493,0.8,-0.59745465205448,0.259469181902812,81.0
11/29/2017,2.0222876268954617,0.8,-0.7228844676575754,0.2824899330675745,80.0
11/30/2017,2.1589166584171986,0.8,-0.5806877098179312,0.2717523838702845,79.0
12/1/2017,1.3274859189098087,0.8,-0.9645313920038658,0.3207612614385263,78.0
12/4/2017,2.177148575379653,0.8,-0.5813918909188458,0.27708803931280657,75.0
12/5/2017,1.0326495562183655,0.8,-1.0,0.3323298721162176,74.0
12/6/2017,2.1913924827013616,0.8,-0.6891171239567093,0.2834026469345916,73.0
12/7/2017,1.635010530247029,0.8,-0.8176108615818628,0.3144417559906139,100.0
12/8/2017,0.6973231737104051,0.8,-1.0,0.3449034273945655,99.0
12/11/2017,1.8883894415160303,0.8,-0.7043398807832587,0.2776301800537744,96.0
12/12/2017,1.315048948962136,0.8,-0.6600713074318652,0.27777838106802843,95.0
12/13/2017,1.274223586421195,0.8,-0.7267939910623048,0.3094027518897613,94.0
12/14/2017,1.111478449193402,0.8,-0.7747790020040917,0.3137559796796114,93.0
12/15/2017,1.3423280312159496,0.8,-0.7238789290122568,0.307681745492482,92.0
12/18/2017,1.144576701362799,0.8,-1.0,0.31524384147079404,89.0
12/19/2017,1.2297307410071776,0.8,-1.0,0.3246675730161376,88.0
12/20/2017,1.9951578132997676,0.8,-0.6239171381978136,0.2776667218705707,87.0
12/21/2017,0.8882620021143139,0.8,-1.0,0.32285834810534636,86.0
12/22/2017,1.982027972190735,0.8,-0.6200835890227469,0.2807401732664066,85.0
12/26/2017,1.9498331661226553,0.8,-0.6673411270924617,0.2882603247295185,81.0
12/27/2017,1.2115287179458982,0.8,-1.0,0.3198348294994386,80.0
12/28/2017,2.032210400941326,0.8,-0.797985261014521,0.2872724776779459,79.0
12/29/2017,1.3530136506182937,0.8,-0.9567066437341916,0.322745200571849,78.0
1/2/2018,1.441224469324622,0.8,-1.0,0.3070061019659894,74.0
1/3/2018,1.3574004048657384,0.8,-0.9699421186819227,0.3099454266770977,73.0
1/4/2018,1.9811117761062622,0.8,-0.6902528106976903,0.28143023175116727,85.0
1/5/2018,1.0982287061367835,0.8,-1.0,0.31902937539507464,84.0
1/8/2018,1.998746624165166,0.8,-0.6507559884580689,0.27852739787621905,81.0
1/9/2018,1.1949952117399343,0.8,-0.6842495080190175,0.3436692026864137,80.0
1/10/2018,2.072260757921446,0.8,-0.6367092015878008,0.2789443234167392,79.0
