,Close
1297,1862.4
1298,1830.13
1299,1829.61
1300,1815.73
1301,1800.5
1302,1801.06
1303,1774.24
1304,1801.11
1305,1775.57
1306,1784.94
1307,1810.41
1308,1801.47
1309,1789.43
1310,1776.38
1311,1800.91
1312,1824.43
1313,1818.38
1314,1804.59
1315,1808.53
1316,1760.95
1317,1763.7
1318,1768.58
1319,1757.77
1320,1738.59
1321,1756.03
1322,1745.45
1323,1771.42
1324,1756.3
1325,1769.49
1326,1776.24
1327,1764.88
1328,1763.63
1329,1735.34
1330,1704.57
1331,1700.5
1332,1695.03
1333,1681.38
1334,1708.86
1335,1706.17
1336,1710.41
1337,1712.94
1338,1695.36
1339,1711.58
1340,1668.02
1341,1664.42
1342,1672.25
1343,1680.05
1344,1685.02
1345,1657.62
1346,1669.71
1347,1665.86
1348,1674.27
1349,1658.3
1350,1629.07
1351,1632.95
1352,1627.96
1353,1624.46
1354,1630.31
1355,1625.64
1356,1631.88
1357,1645.62
1358,1634.55
1359,1641.6
1360,1658.37
1361,1657.91
1362,1662.77
1363,1671.95
1364,1665.17
1365,1632
1366,1633.14
1367,1610.41
1368,1605.28
1369,1606
1370,1596.2
1371,1598.5
1372,1591.33
1373,1596.57
1374,1588.11
1375,1557.17
1376,1570.44
1377,1554.4
1378,1560.29
1379,1551.2
1380,1560.08
1381,1548.04
1382,1537.53
1383,1550.97
1384,1619.21
1385,1620.03
1386,1605.07
1387,1607.99
1388,1597.16
1389,1614.7
1390,1582.1
1391,1564.98
1392,1569.07
1393,1540.96
1394,1545.96
1395,1553.97
1396,1553.7
1397,1541.14
1398,1587.96
1399,1613.09
1400,1596.14
1401,1627.66
1402,1625.33
1403,1615.75
1404,1618.66
1405,1612.95
1406,1614.14
1407,1617.66
1408,1639.67
1409,1637.77
1410,1643.34
1411,1625.81
1412,1623.64
1413,1612.95
1414,1584.7
1415,1571.52
1416,1576.32
1417,1587.05
1418,1617.73
1419,1626.61
1420,1624.71
1421,1619.74
1422,1617.83
1423,1591.61
1424,1591.85
1425,1600.88
1426,1575.26
1427,1581.95
1428,1563.7
1429,1551.56
1430,1550.89
1431,1540.49
1432,1562.97
1433,1554.75
1434,1568.75
1435,1563.2
1436,1552.92
1437,1542.07
1438,1532.92
1439,1547.76
1440,1532.18
1441,1545.95
1442,1601.74
1443,1600.42
1444,1634.92
1445,1653.28
1446,1645.01
1447,1657.13
1448,1635.63
1449,1728.06
1450,1738.85
1451,1744.85
1452,1744.02
1453,1751.94
1454,1737.99
1455,1746.44
1456,1798.88
1457,1800.56
1458,1786.78
1459,1817.85
1460,1857.68
1461,1870.5
1462,1880.26
1463,1857.69
1464,1855.34
1465,1855.49
1466,1818.98
1467,1893.1
1468,1900.05
1469,1877
1470,1854.94
1471,1886.79
1472,1898.44
1473,1898.5
1474,1910.14
1475,1900.18
1476,1886.45
1477,1957.39
1478,1982.62
1479,1989.32
1480,1993.25
1481,2055.72
1482,2065.39
1483,2068.95
1484,2078.49
1485,2048.58
1486,2042.42
1487,2042.42
1488,2014.58
1489,1981.07
1490,1978.3
1491,1897.9
1492,1883.48
1493,1890.76
1494,1865.13
1495,1889.48
1496,1956.61
1497,1944.42
1498,1841.62
1499,1916.71
1500,1933.7
1501,1902.37
1502,1901.48
1503,1879.82
1504,1854.62
1505,1835.61
1506,1838.36
1507,1841.32
1508,1811.24
1509,1830.96
1510,1905.76
1511,1902.29
1512,1904.46
1513,1901.93
1514,1861.26
1515,1868.44
1516,1791.64
1517,1793.19
1518,1784.07
1519,1783.22
1520,1789.67
1521,1773.1
1522,1788.63
1523,1787.93
1524,1784.13
1525,1774.5
1526,1759.8
1527,1772.64
1528,1761.62
1529,1768.15
1530,1827.98
1531,1823.95
1532,1760.68
1533,1793.88
1534,1778.29
1535,1766.04
1536,1763.05
1537,1795.49
1538,1816.6
1539,1817.92
1540,1824.38
1541,1807.86
1542,1819.12
1543,1810.72
1544,1785.57
1545,1789.43
1546,1821.45
1547,1843.81
1548,1861.25
1549,1851.08
1550,1858.2
1551,1823.74
1552,1829.14
1553,1827.26
1554,1870.09
1555,1861.7
1556,1855.46
1557,1841.37
1558,1838.64
1559,1819.5
1560,1806.82
1561,1784.7
1562,1760.22
1563,1700.8
1564,1704.15
1565,1692.48
1566,1704.22
1567,1687.61
1568,1631.55
1569,1633.16
1570,1525.17
1571,1526.8
1572,1509.68
1573,1512.2
1574,1552.38
1575,1549.37
1576,1541.34
1577,1522.91
1578,1535.32
1579,1542.05
1580,1506.73
1581,1505.3
1582,1546.74
1583,1635.66
1584,1587.59
1585,1604.66
1586,1606.34
1587,1582.14
1588,1549.35
1589,1511.4
1590,1514.05
1591,1555.84
1592,1532.35
1593,1529.3
1594,1521.61
1595,1484.21
1596,1500.94
1597,1504.17
1598,1537.81
1599,1536.5
1600,1554.19
1601,1556.3
1602,1551.15
1603,1544.62
1604,1553.04
1605,1610.26
1606,1619.74
1607,1610.22
1608,1595.15
1609,1592.79
1610,1608.87
1611,1594.54
1612,1588.08
1613,1582.62
1614,1566.29
1615,1601.38
1616,1602
1617,1592.87
1618,1588.15
1619,1589.78
1620,1591.93
1621,1614.54
1622,1613.54
1623,1609.6
1624,1625.85
1625,1713.38
1626,1737.58
1627,1741.32
1628,1772.66
1629,1749.24
1630,1738.25
1631,1698.63
1632,1700.59
1633,1713.08
1634,1673.56
1635,1661.61
1636,1632.69
1637,1639.15
1638,1643.06
1639,1659.71
1640,1668.48
1641,1637.93
1642,1669.27
1643,1662.17
1644,1656.26
1645,1634.22
1646,1627.18
1647,1636.8
1648,1657.58
1649,1640.07
1650,1638.5
1651,1621.6
1652,1611.52
1653,1610.69
1654,1633.72
1655,1653.42
1656,1631.05
1657,1644.75
1658,1638.51
1659,1633.66
1660,1614.21
1661,1610.58
1662,1587.44
1663,1591.14
1664,1610.78
1665,1569.24
1666,1572.73
1667,1604.82
1668,1675.16
1669,1659.53
1670,1663.76
1671,1648.09
1672,1642.5
1673,1633.78
1674,1630.94
1675,1648.79
1676,1664.62
1677,1661.41
1678,1678.87
1679,1681.51
1680,1699.18
1681,1692.38
1682,1675.25
1683,1669.87
1684,1670.55
1685,1639.18
1686,1631.91
1687,1626.41
1688,1602.46
1689,1597.27
1690,1598.68
1691,1580.11
1692,1537.41
1693,1541.27
1694,1539.6
1695,1547.36
1696,1524.88
1697,1550.22
1698,1547.92
1699,1574.78
1700,1561.1
1701,1536.07
1702,1512.93
1703,1510.65
1704,1515.33
1705,1503.88
1706,1498.27
1707,1494.61
1708,1499.29
1709,1488.51
1710,1493.09
1711,1475.67
1712,1464.84
1713,1478.88
1714,1514.12
1715,1499.03
1716,1502.06
1717,1478.87
1718,1487.8
1719,1494.49
1720,1477.35
1721,1475.34
1722,1505.83
1723,1528.32
1724,1527
1725,1528.02
1726,1534.24
1727,1538.1
1728,1508.54
1729,1533.4
1730,1520.14
1731,1505.33
1732,1468.06
1733,1440.89
1734,1444.2
1735,1452.46
1736,1464.32
1737,1462.69
1738,1455.65
1739,1448.33
1740,1459.51
1741,1455.58
1742,1408.87
1743,1412.73
1744,1418.7
1745,1437.39
1746,1426.39
1747,1434.16
1748,1427.63
1749,1418.71
1750,1406.91
1751,1464.08
1752,1477.53
1753,1470.12
1754,1467.08
1755,1464.53
1756,1472.05
1757,1465.78
1758,1473.14
1759,1491.3
1760,1477.49
1761,1490.33
1762,1534.75
1763,1530.88
1764,1570.4
1765,1565.31
1766,1557.7
1767,1523.22
1768,1527.05
1769,1520.56
1770,1521.28
1771,1493.76
1772,1509.55
1773,1507.04
1774,1510.28
1775,1501.05
1776,1483.78
1777,1496.01
1778,1494.81
1779,1487.53
1780,1485.25
1781,1476.18
1782,1478.72
1783,1480.74
1784,1508.39
1785,1503.52
1786,1500.83
1787,1488.77
1788,1487.74
1789,1459.21
1790,1460.82
1791,1474.14
1792,1471.55
1793,1484.37
1794,1486.05
1795,1479.73
1796,1491.76
1797,1484.31
1798,1482.1
1799,1477.52
1800,1466.39
1801,1484.24
1802,1472.27
1803,1475.35
1804,1493.53
1805,1488.76
1806,1483.86
1807,1502.96
1808,1518.71
1809,1501.94
1810,1495.43
1811,1478.04
1812,1484.48
1813,1475.76
1814,1480.13
1815,1469.95
1816,1478.01
1817,1473.76
1818,1482.4
1819,1481.66
1820,1484.84
1821,1489.55
1822,1492.46
1823,1492.84
1824,1491.96
